         162598121 function calls (162250956 primitive calls) in 223.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.489    0.489  223.822  223.822 enrichissement.py:28(main)
       11    0.000    0.000  217.090   19.735 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:5781(pipe)
       11    0.012    0.001  217.090   19.735 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/common.py:469(pipe)
       95    0.000    0.000  104.751    1.103 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1696(__next__)
       95    1.070    0.011  104.751    1.103 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1803(get_chunk)
      101    0.002    0.000  104.044    1.030 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/readers.py:1762(read)
      100    0.147    0.001   98.986    0.990 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:218(read)
      100   89.195    0.892   93.121    0.931 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
        1    0.018    0.018   61.425   61.425 enrichissement.py:312(enrichissement_siret)
        1    0.032    0.032   60.454   60.454 enrichissement.py:444(get_enrichissement_insee)
        1    1.587    1.587   59.985   59.985 enrichissement.py:410(actualiser_cache)
        1    1.275    1.275   48.310   48.310 enrichissement.py:715(enrichissement_acheteur)
        1    0.111    0.111   48.135   48.135 enrichissement.py:819(enrichissement_geo)
        1    0.000    0.000   46.115   46.115 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:9398(apply)
        1    0.002    0.002   46.115   46.115 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:713(apply)
        1    0.000    0.000   46.113   46.113 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:872(apply_standard)
        1    0.252    0.252   46.070   46.070 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/apply.py:878(apply_series_generator)
   170603    1.041    0.000   44.483    0.000 enrichissement.py:910(get_distance)
        1    0.703    0.703   41.683   41.683 enrichissement.py:201(enrichissement_type_entreprise)
   158833    0.327    0.000   33.340    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/distance.py:516(__init__)
   158833    0.518    0.000   32.888    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/distance.py:240(__init__)
   158833    0.520    0.000   32.061    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/distance.py:537(measure)
   158833    0.549    0.000   21.916    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:1018(Inverse)
   158833    2.703    0.000   20.779    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:704(_GenInverse)
      574    0.012    0.000   18.910    0.033 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:296(apply)
       56    0.000    0.000   18.544    0.331 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:93(merge)
  204/146    0.002    0.000   15.731    0.108 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:6076(astype)
      202    0.000    0.000   15.711    0.078 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:444(astype)
      205    0.001    0.000   15.708    0.077 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:504(astype)
      205    0.001    0.000   15.702    0.077 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/astype.py:239(astype_array_safe)
      205    0.003    0.000   15.698    0.077 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/astype.py:192(astype_array)
       56    0.381    0.007   14.917    0.266 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:769(get_result)
  418/346    0.001    0.000   13.200    0.038 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/util/_decorators.py:323(wrapper)
    14868   12.523    0.001   12.523    0.001 {built-in method pandas._libs.lib.ensure_string_array}
     5459    0.027    0.000   11.981    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:305(__init__)
     5453    0.007    0.000   11.974    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:112(_from_backing_data)
     5459    3.333    0.001   11.900    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/string_.py:313(_validate)
   324529    2.018    0.000   11.472    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:627(_Lambda12)
    13/11    0.000    0.000   11.004    1.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/util/_decorators.py:170(wrapper)
       56    0.223    0.004   10.815    0.193 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:121(wrapper)
      112    0.001    0.000    9.698    0.087 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/astype.py:68(astype_nansafe)
     5451    8.566    0.002    8.566    0.002 {built-in method pandas._libs.lib.is_string_array}
       56    0.002    0.000    8.425    0.150 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:715(_reindex_and_concat)
   669528    0.859    0.000    8.407    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:5888(__getattr__)
        1    0.150    0.150    8.190    8.190 enrichissement.py:683(enrichissement_cpv)
